player_name,total_attempts,goals,shots_to_goal
"Luis Díaz",5,3,1.67
"Sandro Kulenović",5,3,1.67
"Jonathan David",8,4,2
"Antoni Milambo",6,3,2
"Abdallah Sima",6,3,2
"Karim Adeyemi",7,3,2.33
"Robert Lewandowski",13,5,2.6
"Kerem Aktürkoğlu",8,3,2.67
"Tijjani Reijnders",8,3,2.67
"Viktor Gyökeres",15,5,3
Raphinha,15,5,3
"Jamie Gittens",9,3,3
"Serhou Guirassy",10,3,3.33
"Florian Wirtz",10,3,3.33
"Benjamin Šeško",11,3,3.67
"Harry Kane",20,5,4
"Vinícius Júnior",17,4,4.25
"Dušan Vlahović",13,3,4.33
"Phil Foden",17,3,5.67
"Erling Haaland",21,3,7
